subway,price_2022-07-14,price_2022-07-17
ЗИЛ,"16,278,418.15","26,820,898.01"
Беговая,"28,610,031.45","26,997,299.04"
Щукинская,"23,000,000.00","27,000,000.00"
Площадь Ильича,"28,328,004.00","27,048,478.67"
Шаболовская,"38,349,954.50","27,156,836.00"
Багратионовская,"24,770,000.00","27,390,000.00"
Автозаводская,"24,323,188.13","27,474,462.92"
Панфиловская,"27,428,378.38","27,490,000.00"
Павелецкая,"25,678,537.96","27,543,575.23"
Фонвизинская,,"27,600,000.00"
Марьина роща,"15,409,048.55","27,862,037.33"
Новопеределкино,"15,200,000.00","27,950,000.00"
Комсомольская,"30,000,000.00","27,966,666.67"
Спортивная,"27,300,000.00","27,999,186.99"
Новодачная,,"28,000,000.00"
Технопарк,"26,094,449.02","28,296,363.23"
Баррикадная,"27,000,000.00","28,625,000.00"
Планерная,"26,436,000.00","28,632,500.00"
Фили,"30,806,724.27","28,645,268.52"
Славянский бульвар,"20,444,379.91","28,788,888.89"
Тестовская,"28,450,000.00","28,900,000.00"
Петровский парк,"26,297,705.90","28,921,940.42"
Марк,,"29,000,000.00"
Шелепиха,"27,855,070.15","29,115,363.12"
Серпуховская,"39,743,473.00","29,118,253.17"
Улица 1905 года,"21,750,792.17","29,418,243.69"
Савёловская,"36,875,000.00","29,475,000.00"
Аэропорт,"11,527,675.00","29,586,620.71"
Проспект Вернадского,,"29,990,000.00"
Новые Черёмушки,"16,096,091.95","30,060,000.00"
Университет,"33,375,000.00","31,000,000.00"
Площадь Гагарина,"27,500,000.00","31,971,992.13"
Дмитровская,"31,745,170.25","32,918,733.38"
Алексеевская,"29,325,224.17","33,086,551.36"
Чкаловская,"30,937,831.33","33,344,712.57"
Немчиновка,"30,650,000.00","33,400,000.00"
Цветной бульвар,"36,804,166.67","34,892,000.00"
Котельники,"13,320,416.67","35,577,724.54"
Динамо,"34,863,636.36","36,082,142.86"
Балтийская,,"36,500,000.00"
Сухаревская,"26,621,250.00","36,924,552.35"
Курская,"39,731,541.29","37,183,014.13"
Охотный ряд,"38,045,928.00","37,590,992.00"
Юго-Западная,"17,411,428.57","37,842,500.00"
Лужники,"31,263,491.56","38,130,306.67"
Ломоносовский проспект,"28,785,011.38","38,521,045.58"
